# cam_id width height fx fy cx cy k1 k2 p1 p2 cam_name qvecw qvecx qvecy qvecz tvecx tvecy tvecz
1 1280 720 965.4800763348228 963.4931539470476 645.8981265308672 307.96911318877767 -0.4243446282044939 0.1834682146669939 0.001549291343997591 -0.0032162952251712723 brics-odroid-001_cam0 0.20691032661654726 0.14115102155236542 0.9319268305982428 -0.2622534809402374 0.32703304168012354 0.11459468396840432 3.7567087924192797
2 1280 720 972.5129828834384 971.296719639803 585.7709337377491 308.8343327219569 -0.385901415011238 0.1440277305310597 -0.002231624769147541 0.005104590208109449 brics-odroid-002_cam0 -0.19504362969212885 -0.08647167940867714 0.9389078741753822 -0.27006042840117744 -0.4038193089464011 0.0740905231496894 4.013906938796175
3 1280 720 937.5617483299991 939.4970506853622 662.4288359345119 340.80295922124884 -0.38137413592628333 0.12231483781685856 0.004795104041322128 0.00036006584300839114 brics-odroid-003_cam0 -0.051395392650974606 -0.02951694034397008 -0.7054085556013484 0.7063186487212426 -0.3468851045100617 -0.3133209172334089 3.5822339685075852
4 1280 720 951.2434345474873 954.536942220706 691.43437105891 291.1039429667899 -0.42249365628073454 0.18567434358518745 0.004620358319245423 -0.0011951566553286572 brics-odroid-003_cam1 0.25491934903081054 0.13407133974894306 0.7131766089725187 -0.6390775584873019 -0.10705766070759 -0.6444820026771995 4.07833159709714
5 1280 720 937.6996411416045 936.8209261503613 604.0223127966243 303.3041489810967 -0.3786735062969048 0.11331841926904587 0.004375706232490074 0.008106264331831202 brics-odroid-004_cam0 -0.15136651200328655 -0.13301307290433184 0.8449453348966871 -0.49544230997849925 -0.5703406823394919 -0.2599295272304978 3.4827896846490547
6 1280 720 971.8075599252621 973.9736569000088 600.9194066165846 319.28614692072443 -0.3980667946107582 0.16664973188603238 0.0024111347759261134 0.006187493060534737 brics-odroid-004_cam1 -0.10523659056369096 -0.13038135664312295 0.7256153988493003 -0.6673891329645696 -0.4464508712290474 -0.7066866470865267 4.324136807650889
7 1280 720 948.6573740045945 948.2785084330186 641.4499809552531 352.7757323932612 -0.4066504178562277 0.15450019058273676 0.0021554346849394167 -5.278628891112172e-05 brics-odroid-005_cam0 0.014617420765774759 0.033558355470581676 0.9868430498071731 -0.15748321445647415 -0.19220453497627374 -0.5551996576340178 3.110011796577236
8 1280 720 997.9009121622288 999.9911135169092 648.0471418681893 332.32006133006104 -0.409192247914236 0.15092394967661502 0.005647856119157526 0.0025743932093918696 brics-odroid-005_cam1 0.26211672907551287 0.1657714237597855 0.8622891849716966 -0.4003398767100961 0.03135081969384317 -0.7925811135205117 3.485462727732314
9 1280 720 942.5704312997203 942.6517429529601 620.3692236219329 360.6269229504972 -0.3784662788001136 0.12301835939029146 -0.00042735792709047807 0.00029580670429395656 brics-odroid-006_cam0 -0.37640644167598075 -0.3237506470305442 0.846549369319317 -0.19198404755915816 0.3735623045180516 -0.5638109760835803 3.837085630262865
10 1280 720 1003.0046330644722 1000.2046887799058 701.9057829551381 385.7264388633438 -0.40811794772186666 0.16459197590984928 -0.0038159618940155626 -0.002530078555326056 brics-odroid-007_cam0 0.6162031476458908 0.561821843401898 -0.5254539403010529 0.16896169308422426 -0.6455078050604687 -0.45687324746132235 4.428219568899489
11 1280 720 943.2753638248934 947.2719672344193 635.214434765545 342.3842484337978 -0.40510250164383266 0.15337029346021464 0.00209998495109401 -0.0023230944441965016 brics-odroid-007_cam1 -0.5020816721258943 -0.5075671695052417 0.6909807003523821 -0.11329269480524738 0.22359301567573192 -0.7304600475798844 3.290019707296478
12 1280 720 976.4799104910139 975.3480064143054 618.8591219168054 402.40064122810475 -0.38080750828222265 0.11828364350659407 -0.0013915483864041216 0.005272593252231825 brics-odroid-008_cam0 -0.45461462442758116 -0.1485321183464047 0.6549126833814963 -0.5851095027617882 0.3794780337850467 -0.710655239625362 4.461293467072303
13 1280 720 925.0549362989331 928.631732834217 634.1098151174152 347.0647788586589 -0.3753109988026429 0.12169800646948135 -0.0023520067596036827 -0.0016009890264518506 brics-odroid-008_cam1 0.7214007726705802 0.14937208447783826 -0.4450574183882036 0.50910981124573 0.607963688036304 -0.09765006663565727 3.738355691096067
14 1280 720 948.8625471022375 951.2641044374338 663.1097601307947 345.56790180945825 -0.3896561452163016 0.13278759252162148 0.0038173700689156896 -0.003593166033599735 brics-odroid-009_cam0 0.7657168268992105 0.3112171563541242 -0.37178584024142014 0.4226072782031072 0.11247777061745448 -1.067863101650777 4.338713593129845
15 1280 720 933.9877517176369 932.9086260104963 608.5934238156218 295.7093631249837 -0.44274159618532827 0.2470335820323285 0.006977173029043838 0.000252355384504716 brics-odroid-009_cam1 0.7657548237517438 0.42802104632885823 -0.425505105812288 0.22217771879321896 0.2567471415937722 -0.6568816237995575 3.5475110230272007
16 1280 720 979.9177706225021 983.5198281042194 670.9577341278842 313.2076891153198 -0.4281221193069683 0.2041397549681438 0.005236992494183791 -0.006657967569356562 brics-odroid-010_cam0 0.6021717853851768 0.45468984482228636 -0.5734123033025981 0.31913103315522756 0.6456166792807209 -0.9328004159954213 3.0540766034113718
17 1280 720 967.0777472971793 968.0287610051112 648.4107175851937 353.7831222971125 -0.42627345689474727 0.2297896647572907 -0.0008525096248075858 -0.0056686366188284 brics-odroid-010_cam1 0.44964936449913323 0.26060778692903386 -0.7793779054400592 0.3499558699455445 0.5248815134592645 -0.9920603486379241 3.5184144705251814
18 1280 720 938.7248083980386 944.406069125714 619.9299139793297 318.50330138319333 -0.36868098117743126 0.1193849216090396 0.0005291429607893717 -0.0067592231071128975 brics-odroid-011_cam0 0.7483615396317564 0.6136660747494775 -0.22740238972398005 0.10796808718032747 0.6581924238526392 0.09532463019734531 4.03086292355102
19 1280 720 909.2653228402065 910.4770638283818 652.9749119181995 302.93228234222084 -0.36384121684875154 0.10697428170491625 0.0017638345236820814 0.001014809501714305 brics-odroid-012_cam0 0.8044946196292161 0.5872282550111741 0.08891036311489423 0.006806675763686773 -1.096525876605755 0.4878766605312409 3.376603320101918
20 1280 720 941.3674580602948 943.3039426722503 606.7699475670603 340.34083145968316 -0.38583802767754777 0.13069477395311307 0.0021612966911151344 0.0019475273350339902 brics-odroid-012_cam1 0.7483792038241422 0.6621434995108371 -0.0010828606198930607 0.03864428485511173 0.3310221800504823 0.004549121464205123 3.310543908823305
21 1280 720 945.1570864677719 944.0603066961321 639.2206947523856 307.7162702954186 -0.4050591283821051 0.15776314256722898 0.0007977713073883357 0.00021854112936691932 brics-odroid-013_cam0 0.9841715858812927 0.1728968960546921 -0.02469135086346692 0.030054784495840696 0.12911202385032583 -0.06941614765709939 3.776738869690962
22 1280 720 930.4202932137771 934.843296018711 636.0469570207423 326.9552064647614 -0.3797732995833857 0.12450116716107433 0.0007759061010203644 -0.0007564446492305471 brics-odroid-013_cam1 0.9316809567465618 0.26794004461919746 -0.21124449453249355 0.12471764452147535 0.510595827294293 -0.8892578883292884 4.175927079966232
23 1280 720 947.4863338205959 951.8904783820328 669.9083899077484 307.1283773074431 -0.3949689030314141 0.15306871415128004 -0.0011077937431494345 0.004215601811301221 brics-odroid-014_cam0 0.9578402377014965 0.24800215206591758 0.10139967114164174 -0.10370688647809792 -0.6930353357980445 -0.48949843302050094 4.2107212431349
24 1280 720 935.7345479696158 935.8840576144859 640.0681904767871 333.1186281129295 -0.4246087218441418 0.18793258058035348 0.0016190747948805681 0.00038002552624172894 brics-odroid-014_cam1 0.8549535853312399 0.4829213132773624 0.1881805046097054 -0.020723653069926292 -0.28915353637306285 -0.7250750285710765 3.432965847320882
25 1280 720 939.1464067094356 937.9484006302876 607.2307797791575 331.8921598212124 -0.3849530429593138 0.12518615910295208 0.0005480961152963988 0.0006987560897589408 brics-odroid-015_cam0 0.8962278656763758 0.4423111042549135 -0.016637745097352004 0.02932039010727415 0.2881166870677263 -0.23612486704551694 2.951109976584161
26 1280 720 996.0458306124415 985.9484713551872 639.5971257397971 339.65934412388697 -0.4608736381781733 0.24333347715907958 0.004885643364072743 -0.0020709378858276726 brics-odroid-015_cam1 0.879102177468019 0.413562833868166 -0.18880748408395506 0.1431673076082886 0.9488054748252545 0.02809971674968498 3.8671923070653818
27 1280 720 1277.8676315619907 1234.4157004019398 709.4576184301716 378.82554956523103 -0.8164464479188955 2.7919464585986917 -0.05202011920147045 -0.046607645822902374 brics-odroid-016_cam0 0.6969796747857383 0.557840046713691 0.42791014175978553 -0.14116205508972268 0.7322003080171327 0.09956437631428629 5.817150585905891
28 1280 720 971.8989123319819 967.8222567077703 684.2930220178688 391.66698345089384 -0.40952019831691117 0.1547816501840714 -0.002708882232082424 -0.00245732085995807 brics-odroid-017_cam0 0.430965324115237 0.36251382509569097 0.8097519743310105 -0.16478578850061693 -0.7569117853252882 -0.3396669428450657 3.7710790308763897
29 1280 720 938.7202277159347 937.8722166987815 613.8999782717582 331.05936459298823 -0.38943338081963114 0.1323389516861192 -0.0024042388038466008 -0.000718705881481686 brics-odroid-017_cam1 0.4875638558899394 0.5313345630415539 0.6875590409795281 -0.08501549102655917 0.18493092484562218 -0.5993338264728713 2.9732385617105486
30 1280 720 918.6427479332134 921.540183980376 680.2438370168555 327.4091733025242 -0.3866350253086021 0.13075873867714558 0.0034210909611679667 -0.0029032563853786664 brics-odroid-018_cam0 0.8024070612866477 0.19726601470207772 0.4000664018470244 -0.39645416072234746 -0.9129554126845119 -0.5949546242151005 3.2708897006176287
31 1280 720 912.5003394147441 920.577521239996 636.2362268472298 353.13913420029206 -0.37581634786484164 0.12555857192257436 -0.00054423101133771 -0.004369057457622486 brics-odroid-018_cam1 0.8487243104598824 0.26442864701508145 0.34777190648905887 -0.29799200749203997 0.24197639573218474 -0.8841526227981783 3.8425968458888753
32 1280 720 958.4876806467369 961.3095285705783 623.8445876956458 372.7049422855415 -0.40485781477017896 0.1434363749565275 0.0017418588655369216 0.0046428533999350995 brics-odroid-019_cam0 0.6141840048087006 0.11533233985308597 0.5993203116626195 -0.5002915386549919 -0.7519984582552917 -0.5955580535193328 4.0701748733041
33 1280 720 884.1510768075867 878.9581052177222 682.8359891157663 306.2410937872831 -0.3720220966638725 0.11008970028109488 0.0051650389884789205 -0.0015134755784499692 brics-odroid-019_cam1 0.5240116409595105 0.32443661575500177 0.7073831538743162 -0.3460661152311621 -0.9751324381978944 -0.6210834119299475 2.617983481552798
34 1280 720 889.0835945906466 890.4833317482684 664.9375577099175 351.04491112277344 -0.38495895397811786 0.12753494465131618 -0.005923428277660539 -0.0020979513815587974 brics-odroid-020_cam0 0.7221747561761758 0.423901901136408 0.533090891484929 -0.12076796417354997 -0.8270159293998365 -1.1638500871158814 2.126265165382469
35 1280 720 918.6501261964867 918.9319642579909 673.1096826412027 327.15940792176815 -0.4156833912077729 0.17225280846262273 0.0032199429813958725 -0.003885873795624878 brics-odroid-020_cam1 0.7977007132683326 0.4555129963287534 0.36818853053002076 -0.14359208966004514 -0.2248878714685826 -0.6641071837028856 3.177180161102464
36 1280 720 954.9003184721754 955.6999413233794 642.5844294283908 318.2623873676375 -0.41485842293645986 0.17446742343414223 0.00027023601824483054 -0.0009053755998083072 brics-odroid-021_cam0 0.38105490549056076 0.6037269001082644 0.6980622693498039 0.0549550470607326 0.049131143552983675 -0.2957032059000183 3.039834558870068
37 1280 720 937.2315864780751 937.6606923645754 660.1366848312673 368.82275159995544 -0.4083091257206195 0.1575064282444972 0.002097393358420598 -0.0011966121100077806 brics-odroid-021_cam1 0.5402515162975134 0.7562010229383012 0.36760012657673613 0.03403614235003866 0.17394648052620323 -0.7380680040845485 3.517638621363894
38 1280 720 969.8014649384909 971.3572794227998 617.7883955005775 302.23463522497053 -0.42780152159301166 0.19920061289742758 0.0036983606047002004 0.0018233042752754754 brics-odroid-022_cam0 0.549515876742382 0.7144319136351344 -0.43311078371573425 0.005864385460881135 0.09556558384601455 -0.7268697867971547 3.914059323995076
39 1280 720 907.2617650728779 908.9204013510976 643.3611189009007 367.97351504752277 -0.39325043702749035 0.1316204081487672 0.0009830864956166644 -0.0014885645074662966 brics-odroid-022_cam1 0.5503423972426166 0.834670786647088 0.0037260189285727024 0.02083363861943342 0.32155410900073517 -0.3233492962067422 2.952284099467837
40 1280 720 932.8589619120239 934.9334388970727 641.4190884606886 363.3761798764948 -0.39503439141577185 0.12892408297543112 0.002786295504504298 -0.0016105595878094265 brics-odroid-023_cam0 0.19051113974023362 0.41744186691085033 0.8882915025832109 -0.019646878208069006 0.11040082119657185 -0.7855013126229432 3.3654482802471666
41 1280 720 926.3526324753526 926.8395296706026 593.7731063138652 330.2755896851327 -0.3990032224223006 0.14422826649470652 -0.0006351241929955745 0.0017520967021927747 brics-odroid-024_cam0 -0.2484978244953035 -0.3718256599461492 0.8925021498500029 -0.058603944746362976 0.2708472682160255 -0.628088464593917 3.6472170385581615
42 1280 720 964.875902223171 966.6707119684511 626.0219232797966 384.35089028661713 -0.41991551999649174 0.18469841262384268 -0.0013855575326724432 0.00417643590999144 brics-odroid-024_cam1 -0.3207487163827315 -0.5292954847677345 0.7853072349150271 0.016096506870543984 -0.5421631824524652 -0.6488986257798806 3.2031606408767788
43 1280 720 1043.9586696678814 1050.080789031383 657.1649761434198 310.0162078035502 -0.49239980817090556 0.2150975538654824 0.01568776903130217 -0.005098074212950134 brics-odroid-025_cam0 -7.506965510556121e-05 0.00930216854799224 0.9857665626853755 0.16786228854722357 -0.13264125685025957 -1.2530003773186484 3.41413766639171
44 1280 720 926.7870023186749 927.0288487667234 647.7209951750649 343.5689619246847 -0.3898429492692265 0.12029712603770863 0.0014701034548522092 -0.001082051294591771 brics-odroid-025_cam1 0.21152934715100433 0.6959505076867694 0.6602753678438757 0.1869349211972778 0.15263029763812022 0.32036979351122524 2.4183755502834705
